Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
"Centro Comercial Los Fresnos - C/RIO DE ORO, 3 L:2.6",GIJÓN/XIXÓN 33209,Mujer+Niños,43.5449422,-5.66275,Bilbao,Mediana (~400m²)
"C/ SANTA EULALIA, 11",MÉRIDA 06800,Mujer,38.9171692,-6.3443678,Sevilla,Estándar (~250-300m²)
Pz Rector Rubí 3,MANACOR 07500,Mujer,39.5696458,3.2106461,Palma,Estándar (~250-300m²)
"COSO BAJO, 11",Huesca 22001,Niños,42.1372874,-0.407183,Zaragoza,Estándar (~250-300m²)
"Carrer D'EN CARBO, 18",TORTOSA 43500,Niños,40.8115997,0.5209663,Zaragoza,Estándar (~250-300m²)
"LOS VALLES - RINCON DE LAS HERAS,1 L:10y11",COLLADO VILLALBA 28400,Mujer+Niños,40.6483467,-3.9819765,Madrid,Mediana (~400m²)
"C/ EMILIO CASTELAR, 45",ALCÁZAR DE SAN JUAN 13600,Niños,39.3906264,-3.209336,Madrid,Estándar (~250-300m²)
"CALLE MAYOR, 26",Vinaròs 12500,Niños,40.4703992,0.4746076,Valencia,Estándar (~250-300m²)
"UTRERA Almazara - C/MAYORALES,1 L:7,8,9 y 10",Utrera 41710,Mujer+Niños,37.1833437,-5.7902404,Sevilla,Mediana (~400m²)
"Centro Comercial Dynamia - Av.EL GUIRNEI, 10",Petrel 03610,Mujer+Niños,28.4382321,-16.310525,Canarias,Mediana (~400m²)
"C/COLON, 13",Cala Millor 07560,Niños,39.6046865,3.3848084,Palma,Estándar (~250-300m²)
"X Madrid - C/OSLO, 53 l:57-58-59-60",Alcorcón 28922,Mujer+Niños,40.34912,-3.8284371,Madrid,Mediana (~400m²)
Pz Navarra 3,Huesca 22002,Mujer,42.1360615,-0.0298027,Zaragoza,Estándar (~250-300m²)
"C/ OBISPO COBOS, 8",Úbeda 23400,Hombre,38.0114292,-3.3748131,Málaga,Estándar (~250-300m²)
La Rosaleda - Av. SIMON BOLIVAR s/n,Málaga 29011,Mujer+Hombre,36.7615185,-4.4748558,Málaga,Mediana (~400m²)
"MORALEJA GREEN - AV. DE EUROPA, 13-15 LOCAL C1",ALCOBENDAS 28108,Mujer+Niños,40.5441981,-3.6437163,Madrid,Mediana (~400m²)
parque almenara - C/DE EN MEDIO S/N LOCAL 37-40,LORCA 30813,Mujer,37.6766304,-1.69947,Valencia,Estándar (~250-300m²)
"Zeharkalea Kalea, 2",Durango 48200,Niños,43.1707065,-2.6334897,Bilbao,Estándar (~250-300m²)
Reyes Católicos 26,ÁVILA 05001,Mujer,40.6556056,-4.6985636,Madrid,Estándar (~250-300m²)
"C.CIal. Torre Sevilla - Gonzalo Jimenez Quesada, 2",SEVILLA 41092,Mujer+Hombre,37.3777773,-5.9865158,Sevilla,Mediana (~400m²)
